laufjahr,month,year
15553.0,03,2010
29056.0,06,2010
46108.0,09,2010
64802.0,12,2010
17707.0,03,2011
32576.0,06,2011
54919.0,09,2011
74138.0,12,2011
18040.0,03,2012
34020.0,06,2012
52696.0,09,2012
73287.0,12,2012
20225.0,03,2013
40328.0,06,2013
59640.0,09,2013
81084.0,12,2013
20054.0,03,2014
37147.0,06,2014
56462.0,09,2014
78894.0,12,2014
22928.0,03,2015
35134.0,06,2015
54256.0,09,2015
71468.0,12,2015
15027.0,03,2016
28990.0,06,2016
44334.0,09,2016
60262.0,12,2016
14635.0,03,2017
25526.0,06,2017
