id,name
101,Bezirk Affoltern
102,Bezirk Andelfingen
103,Bezirk Bülach
104,Bezirk Dielsdorf
105,Bezirk Hinwil
106,Bezirk Horgen
107,Bezirk Meilen
108,Bezirk Pfäffikon
109,Bezirk Uster
110,Bezirk Winterthur
111,Bezirk Dietikon
112,Bezirk Zürich
241,Arrondissement administratif Jura bernois
242,Verwaltungskreis Biel/Bienne
243,Verwaltungskreis Seeland
244,Verwaltungskreis Oberaargau
245,Verwaltungskreis Emmental
246,Verwaltungskreis Bern-Mittelland
247,Verwaltungskreis Thun
248,Verwaltungskreis Obersimmental-Saanen
249,Verwaltungskreis Frutigen-Niedersimmental
250,Verwaltungskreis Interlaken-Oberhasli
311,Wahlkreis Luzern-Stadt
312,Wahlkreis Luzern-Land
313,Wahlkreis Hochdorf
314,Wahlkreis Sursee
315,Wahlkreis Willisau
316,Wahlkreis Entlebuch
400,Uri (KT)
501,Bezirk Einsiedeln
502,Bezirk Gersau
503,Bezirk Höfe
504,Bezirk Küssnacht (SZ)
505,Bezirk March
506,Bezirk Schwyz
600,Obwalden (KT)
700,Nidwalden (KT)
800,Glarus (KT)
900,Zug (KT)
1001,District de la Broye
1002,District de la Glâne
1003,District de la Gruyère
1004,District de la Sarine
1005,Bezirk See / District du Lac
1006,Bezirk Sense
1007,District de la Veveyse
1101,Bezirk Gäu
1102,Bezirk Thal
1103,Bezirk Bucheggberg
1104,Bezirk Dorneck
1105,Bezirk Gösgen
1106,Bezirk Wasseramt
1107,Bezirk Lebern
1108,Bezirk Olten
1109,Bezirk Solothurn
1110,Bezirk Thierstein
1200,Basel-Stadt (KT)
1301,Bezirk Arlesheim
1302,Bezirk Laufen
1303,Bezirk Liestal
1304,Bezirk Sissach
1305,Bezirk Waldenburg
1401,Bezirk Oberklettgau
1402,Bezirk Reiat
1403,Bezirk Schaffhausen
1404,Bezirk Schleitheim
1405,Bezirk Stein
1406,Bezirk Unterklettgau
1501,Bezirk Hinterland
1502,Bezirk Mittelland
1503,Bezirk Vorderland
1600,Appenzell Innerrhoden (KT)
1721,Wahlkreis St. Gallen
1722,Wahlkreis Rorschach
1723,Wahlkreis Rheintal
1724,Wahlkreis Werdenberg
1725,Wahlkreis Sarganserland
1726,Wahlkreis See-Gaster
1727,Wahlkreis Toggenburg
1728,Wahlkreis Wil
1821,Bezirk Albula
1822,Distretto di Bernina
1823,Bezirk Hinterrhein
1824,Bezirk Imboden
1825,Bezirk Inn
1826,Bezirk Landquart
1827,Bezirk Maloja / Distretto di Maloggia
1828,Distretto di Moesa
1829,Bezirk Plessur
1830,Bezirk Prättigau-Davos
1831,Bezirk Surselva
1901,Bezirk Aarau
1902,Bezirk Baden
1903,Bezirk Bremgarten
1904,Bezirk Brugg
1905,Bezirk Kulm
1906,Bezirk Laufenburg
1907,Bezirk Lenzburg
1908,Bezirk Muri
1909,Bezirk Rheinfelden
1910,Bezirk Zofingen
1911,Bezirk Zurzach
2011,Bezirk Arbon
2012,Bezirk Frauenfeld
2013,Bezirk Kreuzlingen
2014,Bezirk Münchwilen
2015,Bezirk Weinfelden
2101,Distretto di Bellinzona
2102,Distretto di Blenio
2103,Distretto di Leventina
2104,Distretto di Locarno
2105,Distretto di Lugano
2106,Distretto di Mendrisio
2107,Distretto di Riviera
2108,Distretto di Vallemaggia
2221,District d'Aigle
2222,District de la Broye-Vully
2223,District du Gros-de-Vaud
2224,District du Jura-Nord vaudois
2225,District de Lausanne
2226,District de Lavaux-Oron
2227,District de Morges
2228,District de Nyon
2229,District de l'Ouest lausannois
2230,District de la Riviera-Pays-d'Enhaut
2301,Bezirk Brig
2302,District de Conthey
2303,District d'Entremont
2304,Bezirk Goms
2305,District d'Hérens
2306,Bezirk Leuk
2307,District de Martigny
2308,District de Monthey
2309,Bezirk Raron
2310,District de Saint-Maurice
2311,District de Sierre
2312,District de Sion
2313,Bezirk Visp
2401,District de Boudry
2402,District de la Chaux-de-Fonds
2403,District du Locle
2404,District de Neuchâtel
2405,District du Val-de-Ruz
2406,District du Val-de-Travers
2500,Genève (KT)
2601,District de Delémont
2602,District des Franches-Montagnes
2603,District de Porrentruy
