1,2,3,4,5,6+,Kanton_Name,Kanton_ABK,Kanton_ID
5.68701940415681,3.99697900855998,-0.0702794852449506,-2.99233147972124,-9.22953267907218,-9.27539741253743,Zürich,ZH,1
5.66123019728431,9.97828064483577,-6.80533183834333,-6.34313525923119,-6.94347805811092,-9.33187460872488,Bern / Berne,BE,2
-7.81543536755083,-0.588650495021192,-7.26559433956338,3.24066342849258,14.0083245644451,11.6872077250965,Luzern,LU,3
-16.001784427907,-0.299034122410891,-13.5707681291729,7.74658324197299,29.3207540812201,7.81041797368107,Uri,UR,4
-13.4291106434561,1.68589578366247,-3.63401497758831,3.75554881122437,12.5539784861557,3.62893688358328,Schwyz,SZ,5
-13.0267509419475,-4.19290007310378,-8.38834970465562,8.06226228246587,16.9552442174283,25.229982533938,Obwalden,OW,6
-9.81831634111854,8.72142136517784,-6.44206361598677,0.878419716529111,1.34873016071502,-3.85837377437787,Nidwalden,NW,7
-2.7330094518037,2.73150948696002,-1.30670665618482,3.32433316051615,-1.31221845899409,-15.247367259337,Glarus,GL,8
-10.8122276600112,1.6718840221654,2.32634983434701,7.13689213717463,4.32581672783776,-24.9147784515819,Zug,ZG,9
-21.8681776253986,-10.775045816385,5.59415494754933,15.8846414546515,19.0859219414679,2.03277567307325,Fribourg / Freiburg,FR,10
-3.86017268017368,8.29099189930096,-1.15302291057576,-4.1728804462948,-3.61018355863814,-6.12162858509804,Solothurn,SO,11
55.85153830678,4.15371617964326,-4.88962053279496,-22.6535919638093,-24.9280149664975,-29.9392407176353,Basel-Stadt,BS,12
-7.18276952660355,11.1833148964321,1.40386475453562,-0.197414330012147,-10.1615633589387,-26.9509944367819,Basel-Landschaft,BL,13
8.07738546495671,7.21451394159678,-5.43682703639959,-5.5816179516961,-5.51405083156162,-11.8589904939461,Schaffhausen,SH,14
-9.48657462416362,1.30419147958702,-6.2157200596727,-4.39602158073893,17.6511389119133,29.7819704925948,Appenzell Ausserrhoden,AR,15
-22.7165948092662,-11.0784594282051,-16.7172472300921,-4.55558516325019,78.6776094615572,62.911844708294,Appenzell Innerrhoden,AI,16
-5.45921445402885,-0.854462987734028,-7.44412628816558,0.146816938859806,14.4415288147112,19.7052919309124,St. Gallen,SG,17
11.3594438915121,2.02615082819746,-1.3439884477554,-0.831189031332791,-4.00048362458175,-30.8631328070964,Graubünden / Grigioni / Grischun,GR,18
-13.4850128650653,5.6106621719896,-1.48572550319716,4.26250235017083,0.285197257992387,-5.18385044416154,Aargau,AG,19
-11.692035210134,2.69481659378639,-2.55773217050521,1.2403750901703,7.90089414907729,8.93577184946852,Thurgau,TG,20
13.529095620888,-4.62605323711536,16.2343487127897,-0.0963424736503238,-16.9672765564015,-39.4096475366618,Ticino,TI,21
1.57500141805451,-9.01443100651967,7.79899551288836,5.26160808719249,0.00908775258865457,-4.01126203051065,Vaud,VD,22
-4.90357633931046,-5.90178674369963,5.30340820318909,5.60402182884223,5.11881694542511,-4.48888768169919,Valais / Wallis,VS,23
12.6516144214952,-3.25763437730955,3.01249686550438,2.74924913670769,-8.81395747078758,-26.5716687756787,Neuchâtel,NE,24
0.581527623382239,-26.8210004990261,7.20497605665467,-2.37821646611982,14.8449514837364,110.383201264887,Genève,GE,25
-13.0379590035651,-8.2407999650398,-3.94664787962127,5.13045756312629,26.7362174841229,27.4976545539914,Jura,JU,26
